id,ジャンル,問題文,ア,イ,ウ,エ,正解,解説,
202559,テクノロジ,"ISMSにおける内部監査に関する記述のうち,適切なものはどれか。","JISQ27001の要求事項及び組織自体が規定した要求事項によって定める監査基準への適合性だけでなく,ISMS活動の組織に対する有効性も判定する。","JISQ27001の要求事項ではなく,組織自体が規定した要求事項を監査基準とする。","内部監査の実施のためのプログラムを確立するときには,前回の内部監査の結果は考慮しない。",不定期かつ抜き打ちでの実施を原則とする。,ア,"ISMS（情報セキュリティマネジメントシステム）の内部監査では,JIS Q 27001の要求事項及び組織が定めた要求事項への適合性とISMS活動の有効性（目的達成への貢献度）を確認する。",
202560,テクノロジ,"TCP/IPネットワークで用いられるプロトコルであるFTPの役割として,適切なものはどれか。",正確な現在時刻を取得する。,電子メールを転送する。,ネットワーク接続に必要なIPアドレスなどの情報を自動的に割り当てる。,ファイルをPC間で転送する。,エ,"FTP（File Transfer Protocol）は,ネットワーク上でファイルをPC間で転送するためのプロトコルである。",
202561,テクノロジ,"DBMSのトランザクションに関する記述として,適切なものはどれか。","あるデータベースの内容を他のデータベースに複製し,内容の同期をとる。","データベースに対して行った操作を,順次記録する。","データベースに対する一連の処理が全て成功したら変更結果を確定し,途中で失敗したら処理前の状態に戻す。","データベースの表の索引を作成し,検索時には索引を使用する。",ウ,"トランザクションとは,データベースに対する一連の処理をまとめて扱う単位であり,全ての処理が成功した場合に変更を確定（コミット）と途中で失敗した場合は処理前の状態に戻す（ロールバック）特徴がある。",
202562,テクノロジ,"OSの仮想記憶方式に関する次の記述中のa〜cに入れる字句の適切な組合せはどれか。
プログラムの実行時に,コンピュータのa装置のbな容量に制約されない,cなアドレス空間を提供する。",a 主記憶　b 物理的　c 論理的,a 主記憶　b 論理的　c 物理的,a 補助記憶　b 物理的　c 論理的,a 補助記憶　b 論理的　c 物理的,ア,"仮想記憶方式では,プログラムは物理メモリの容量に制約されないように,論理的なアドレス空間を利用できる。物理メモリと補助記憶の組み合わせにより実現される。",
202563,テクノロジ,"データの尺度を名義尺度,順序尺度,間隔尺度,比例尺度の四つに分類したとき,間隔尺度に該当するものはどれか。",学年,血液型,時刻,睡眠時間,ウ,"間隔尺度は,数値間の差（間隔）が意味を持つ尺度である。",
202564,テクノロジ,"WebサイトなどでRSSの表記を見かけることがある。このRSSの説明として,適切なものはどれか。",Webページの統一的なデザインやレイアウトを定義するための規格,"Webページの見出しやリンク,要約などを記述するフォーマット","ネットワーク上にブックマークを登録することによって,利用価値の高いWebサイト情報を他の利用者と共有するサービス","ブラウザとWebサーバ間で,データを暗号化して安全に送受信するためのプロトコル",イ,"RSS（Really Simple Syndication）は,Webページの見出しやリンク,要約などの情報をまとめたフォーマットで,更新情報を効率よく配信するために使われる。",
202565,テクノロジ,"DBMSにおいて,データの検索を高速に行う目的で,必要に応じて設定して利用する情報はどれか。",インデックス,外部キー,主キー,スキーマ,ア,"インデックスは,データベース内の検索を高速化するために作成されるデータ構造。
主キー：一意のレコード識別
外部キー：テーブル間の関係を示す
スキーマ：データベース構造の定義",
202567,テクノロジ,"3次元画像処理の高速化や,動画をなめらかにするなどの機能をもつ,描画処理のためのハードウェアはどれか。",CGI,GPU,GUI,UPS,イ,"GPU（Graphics Processing Unit）は,3D画像処理や動画描画を高速化する専用のハードウェア。",
202568,テクノロジ,"CSIRTとして行う活動の例として,最も適切なものはどれか。",OSやアプリケーションソフトウェアのセキュリティパッチを定期的に適用する。,"地震や洪水などの自然災害を想定し,情報資産を守るために全社的な事業継続計画を策定する。","セキュリティ事故の発生時に影響範囲を調査して,被害拡大を防止するための対策実施を支援する。","保守業者がサーバ室で作業した日に,作業員の入退出が適切に記録されていたことを監査する。",ウ,"CSIRT（Computer Security Incident Response Team）は,セキュリティインシデントへの対応を主な役割とする組織。",
202569,テクノロジ,"バイオメトリクス認証の他人受入率と本人拒否率に関する次の記述中のa,bに入れる字句の適切な組合せはどれか。
バイオメトリクス認証の認証精度において,他人受入率を低く抑えようとするとaが高くなり,本人拒否率を低く抑えようとするとbが高くなる。",a 安全性　b 可用性,a 安全性　b 利便性,a 利便性　b 安全性,a 利便性　b 可用性,イ,"バイオメトリクス認証では：
他人受入率を低く抑える＝不正者の侵入を防ぐ＝安全性が高くなる
本人拒否率を低く抑える＝正当ユーザが拒否されにくい＝利便性が高くなる",
202570,テクノロジ,"情報セキュリティにおける脅威のうち,脆弱性を是正するセキュリティパッチをソフトウェアに適用することが最も有効な対策になるものはどれか。",総当たり攻撃,ソーシャルエンジニアリング,パスワードリスト攻撃,バッファオーバーフロー,エ,"バッファオーバーフローは,ソフトウェアの脆弱性を突いて不正操作や攻撃を行う手法である。脆弱性を修正するセキュリティパッチの適用が直接的かつ有効な対策になる。",
202571,テクノロジ,"携帯電話で用いられる電波に関する次の記述中のa,bに入れる字句の適切な組合せはどれか。
電波には,周波数がaほど回り込みやすくなり障害物の裏にも届きやすいという性質がある。日本国内の携帯電話で使用される周波数のうち,700b帯~900b帯の周波数帯域はこの性質をもちつながりやすいことなどから,プラチナバンドと呼ばれている。",a 高い　b GHz,a 高い　b MHｚ,a 低い　b GＨｚ,a 低い　b MHｚ,エ,"電波の性質として,周波数が低いほど回り込みやすく障害物の裏にも届きやすい。
日本の携帯電話でいう「プラチナバンド」は,700MHz～900MHzの低周波数帯域を指す。",
202572,テクノロジ,"見る人に意図が伝わりやすいデザインにするための四つの原則に関する次の記述中のa,bに入れる字句の適切な組合せはどれか。
[四つの原則]
　近接：互いに関連する要素は近づけてグループにする。
a：要素を意図したルールに基づき配置する。
反復：要素ごとにデザインルールを繰り返す。
b：要素ごとの大小や強弱などの違いを明確にする。",a 整列　b 価値,a 整列　b 対比,a 操作　b 価値,a 操作　b 対比,イ,"デザインの四つの原則は近接(Proximity),整列(Alignment),反復(Repetition),対比(Contrast)。",
202573,テクノロジ,"Webサービスを狙った攻撃に関する記述と攻撃の名称の適切な組合せはどれか。
a Webサービスが利用しているソフトウェアに脆弱性の存在が判明したとき,その修正プログラムが提供される前に,この脆弱性を突いて攻撃する。
b 複数のコンピュータから大量のパケットを一斉に送り付けることによって,Webサービスを正常に提供できなくさせる。
c 理論的にあり得るパスワードのパターンを順次試すことによって,正しいパスワードを見つけ,攻撃対象のWebサービスに侵入する。",a DDoS攻撃　b ゼロデイ攻撃　c ブルートフォース攻撃,a DDoS攻撃　b ブルートフォース攻撃　c ゼロデイ攻撃,a ゼロデイ攻撃　b DDoS攻撃　c ブルートフォース攻撃,a ゼロデイ攻撃　b ブルートフォース攻撃　c DDoS攻撃,ウ,"a：「修正プログラムが提供される前に脆弱性を突く攻撃」 → ゼロデイ攻撃
b：「複数のコンピュータから大量のパケットを送りサービスを停止させる」 → DDoS攻撃
c：「理論的なパスワードを順次試す攻撃」 → ブルートフォース攻撃",
202574,テクノロジ,"デジタルフォレンジックスの説明として,適切なものはどれか。","コンピュータに関する犯罪や法的紛争が生じた際に,コンピュータから削除された電子メールを復元するなどして,証拠を収集し保全すること",システムを実際に攻撃して脆弱性の有無を調べること,"通信経路を暗号化するなどして,公衆回線をあたかも専用回線であるかのように利用すること",電子メールやファイルなどのハッシュデータを本人の秘密鍵で暗号化すること,ア,"デジタルフォレンジックスとは,コンピュータやデジタル機器に関する犯罪や法的紛争の際に,電子データの証拠を収集・保全・解析する技術・手法のことである。",
202575,テクノロジ,"次の記憶媒体のうち,記憶素子として半導体メモリを用いているものだけを全て挙げたものはどれか。
a CD-ROM 
b DVD-RAM
c RAM
d SSD
e USBメモリ
","a,b,c","a,b,e","c,d,e","c,e",ウ,"半導体メモリを記憶素子として用いるものは,不揮発性／揮発性に関わらず半導体チップにデータを保存するものである。
a CD-ROM：光ディスク → 光学式メディア → 半導体ではない
b DVD-RAM：光ディスク → 半導体ではない
c RAM：揮発性半導体メモリ → 半導体
d SSD：不揮発性フラッシュメモリ → 半導体
e USBメモリ：フラッシュメモリ → 半導体",
202577,テクノロジ,"ネットワークやホストを監視することによって,不正アクセスや不審な通信を発見し,報告する仕組みはどれか。",DMZ,IDS,アンチパスバック,ボット,イ,IDS（Intrusion Detection System）はネットワークやホストを監視し，不正アクセスや不審な通信を検知・報告する仕組みである。,
202578,テクノロジ,"手続calcMod3を呼び出したときの出力はどれか。
[プログラム]
〇calcMod3()
　整数型: totalValue, i
　totalValue ← 0
　for ( i を1から7まで1ずつ増やす)
　  if (i ÷3の余りが0と等しい)
　    totalValue ← totalValue + i
　  endif
　endfor
　totalValueを出力する",2,3,7,9,エ,"プログラムの内容：
totalValue ← 0
i を 1 から 7 まで 1 ずつ増やす
i ÷ 3 の余り = 0 のとき,totalValue ← totalValue + i
ループ後,totalValue を出力
ループの計算：
i = 1 → 1 ÷ 3 の余り = 1 → 加算しない
i = 2 → 2 ÷ 3 の余り = 2 → 加算しない
i = 3 → 3 ÷ 3 の余り = 0 → totalValue = 0 + 3 = 3
i = 4 → 4 ÷ 3 の余り = 1 → 加算しない
i = 5 → 5 ÷ 3 の余り = 2 → 加算しない
i = 6 → 6 ÷ 3 の余り = 0 → totalValue = 3 + 6 = 9
i = 7 → 7 ÷ 3 の余り = 1 → 加算しない",
202579,テクノロジ,"サムネイルの説明として,適切なものはどれか。",画像や文書ファイルの内容を縮小して表示したもの,処理の内容や対象が分かる小さな絵や記号のこと,ネット上で利用者の分身として動作するキャラクターのこと,複数のファイルを一つのファイルにまとめたもの,ア,"サムネイルとは,画像や文書ファイルの内容を縮小して表示したものである。",
202580,テクノロジ,"AIにおいて,広範囲かつ大量のデータで訓練されたものであり,ファインチューニングなどによって文章生成AIのような様々な用途に適応できる特徴をもつものを何というか。",アノテーション,エキスパートシステム,基盤モデル,畳み込みニューラルネットワーク,ウ,"広範囲かつ大量のデータで訓練され,ファインチューニングなどによって文章生成AIや他の用途に応用できるAIモデルは基盤モデル（Foundation Model）と呼ばれる。",
202581,テクノロジ,"イメージスキャナーで読み取った紙の書類の画像から,印刷文字や手書きの文字を読み取り,テキストデータに変換する技術を何と呼ぶか。",CCD,DVI,GPU,OCR,エ,"OCR（Optical Character Recognition,光学文字認識）は,紙の書類の画像から印刷文字や手書き文字を認識してテキストデータに変換する技術である。",
202582,テクノロジ,"あるコンピュータのデータベースの内容を他のコンピュータのデータベースに複製して,両者の内容が一致するように同期させるDBMSの機能はどれか。",アーカイブ,バックアップ,レプリケーション,ロールバック,ウ,"あるデータベースの内容を別のデータベースに複製し,両者の内容を一致させるように同期するDBMSの機能は レプリケーションである。",
202583,テクノロジ,"ISMSの運用にPDCAモデルを採用している組織において,サーバ監視に関する次の作業を実施する。各作業とPDCAモデルの各フェーズの組合せとして,適切なものはどれか。
[作業］
(1)サーバ監視の具体的な目的及び手順を定める。
(2)サーバ監視の作業内容を第三者が客観的に評価する。
(3)定められている手順に従ってサーバを監視する。
(4)発見された問題点の是正処置として,サーバの監視方法を変更する。",P (1)　D (2)　C (3)　A (4),P (1)　D (2)　C (3)　A (4),P (1)　D (3)　C (2)　A (4),P (1)　D (3)　C (4)　A (2),ウ,"Plan (計画)：監視の目的や手順を定める → (1)
Do (実行)：定められた手順に従ってサーバを監視する → (3)
Check (評価)：作業内容を第三者が客観的に評価する → (2)
Act (改善)：発見された問題点を踏まえ,監視方法を変更する → (4)",
202584,テクノロジ,"ISMSにおける情報セキュリティ方針に関する記述として,適切なものはどれか。","機密事項が記載されているので,伝達する範囲を社内に限定する必要がある。","情報セキュリティ対策は一度実施したら終わりではないので,ISMSを継続的に改善するコミットメントを含める必要がある。","部門の特性に応じて最適化するので,ISMSを適用する組織全体ではなく,部門ごとに定める必要がある。","ボトムアップを前提としているので,各職場の管理者によって承認される必要がある。",イ,"ISMSにおける情報セキュリティ方針は,組織全体で情報セキュリティを適切に管理するための基本方針であり,継続的な改善（PDCAサイクル）を行うコミットメントを含める必要がある。",
202586,テクノロジ,"動物が写っている大量の画像から犬や猫などの特徴を自動的に抽出して,動物の種類を識別できるようにするAIの技術はどれか。",e-ラーニング,アクティブラーニング,アダプティブラーニング,ディープラーニング,エ,これは大量の画像データから特徴を自動的に抽出して識別する問題である。特徴抽出と分類を自動で行う技術はディープラーニングが代表的である。,
202587,テクノロジ,"PKIにおいて,ある条件に当てはまるデジタル証明書の情報が公開されているリストとしてCRLがある。このリストに掲載される条件として,適切なものはどれか。",有効期間が満了している。,有効期間が無期限である。,有効期間内に失効している。,有効期間を延長している。,ウ,"CRL（Certificate Revocation List）は,有効期間内に失効したデジタル証明書の一覧を公開するリストである。",
202588,テクノロジ,"情報セキュリティ対策を,“技術的セキュリティ対策”,“人的セキュリティ対策”及び“物理的セキュリティ対策”に分類したとき,“物理的セキュリティ対策”の例として,適切なものはどれか。","業務に関係のない掲示板やSNSなどへの従業員による書込み,閲覧を防止するために,Webサーバへのアクセスログを取得し,必要に応じて通信を遮断する。","サーバ室,執務室などの場所ごとにセキュリティレベルを設定し,従業員ごとのアクセス権が付与されたICカードで入退室管理を行う。","従業員の採用時には,守秘義務に関する契約書を取り交わし,在籍中は機密情報の取扱いに関する教育,啓発を実施する。","退職者が,在籍中のアカウントを用いた不正アクセスを行わないように,従業員の退職時にアカウントを削除する。",イ,"物理的セキュリティ対策とは,情報資産を保管・利用する場所や設備に対する安全確保の対策である。",
202589,テクノロジ,"Aさんは,Bさんから次の4種類のメッセージを受け取った。Aさんが,受け取った
メッセージを復号して読むことができるものだけを全て挙げたものはどれか。
a AさんとBさんとの共通鍵で暗号化したメッセージ
b Aさんの公開鍵で暗号化したメッセージ
c Bさんの公開鍵で暗号化したメッセージ
d Bさんの秘密鍵で暗号化したメッセージ","a,b,d","a,c,d","b,d","c,d",ア,"共通鍵暗号：送信者と受信者が同じ鍵で暗号化・復号する。
公開鍵暗号：
受信者の公開鍵で暗号化したメッセージ → 受信者の秘密鍵で復号可能
送信者の秘密鍵で暗号化したメッセージ → 送信者の公開鍵で復号可能（署名の検証に利用）",
202590,テクノロジ,"無線LANのセキュリティ対策に関する記述として,適切なものはどれか。","APIは,複数のアクセスポイントをグループ化して管理するIDである。","SSHは,アクセスポイントをステルス化することで無線LANネットワークを隠蔽する機能である。","VPNは,アクセスポイントに登録したMACアドレスをもつ機器以外からの接続を拒否する機能である。","WPA2は,WEPよりも高い信頼性をもつ,無線通信の暗号化技術である。",エ,"WEP：古い暗号化方式で安全性が低い
WPA/WPA2：WEPよりも強力な暗号化方式で,無線通信のセキュリティを高める
MACアドレスフィルタリング：指定したMACアドレスのみ接続を許可する
VPN：通信を暗号化して安全にネットワークを利用する
SSH：リモート接続の暗号化に使われる（無線LAN固有ではない）",
202591,テクノロジ,"情報セキュリティのリスクマネジメントにおけるリスク対応を,リスク移転,リスク回避,リスク低減及びリスク保有の四つに分けて実施することにしたとき,これらに関する記述として,適切なものはどれか。","リスク対応の実施手順であり,リスク回避,リスク移転,リスク低減,リスク保有の順番で進める。","リスク対応の実施手順であり,リスク保有,リスク低減,リスク移転,リスク回避の順番で進める。","リスク対応の選択肢であり,管理対象としたリスクの顕在化に備えて保険を掛けておくことは,リスク回避に該当する。","リスク対応の選択肢であり,ノートPCの紛失や盗難に備えて社外への持出しを
より厳重に管理することは,リスク低減に該当する。",エ,"リスク回避：リスクの原因となる行為や状況を避ける（例：危険な業務を中止する）
リスク移転：リスクの影響を第三者に移す（例：保険に加入する）
リスク低減：リスクが顕在化する可能性や影響を減らす（例：社外へのノートPC持出しの管理強化）
リスク保有：リスクを受容して,顕在化した場合に対応する",
202592,テクノロジ,"従業員が使用するPCがランサムウェアに感染した場合の損害を軽減する対策例として,適切なものはどれか。","PCが接続するファイルサーバのHDDのバックアップデータを定期的に取得し,ネットワークから切り離して保管する。",PCに多要素認証の仕組みを導入する。,PCのHDDを暗号化する。,"PCへのログイン時に,パスワードを複数回間違えたら,当該IDをロックする。",ア,"ランサムウェアは,感染したPC内のデータやネットワーク上のファイルを暗号化してアクセス不能にするマルウェアである。
損害を軽減するためには 暗号化されたデータを復元できるバックアップを用意すること が有効である。",
202593,テクノロジ,"情報セキュリティにおける脅威の説明として,適切なものはどれか。",攻撃者が付け込むことのできる情報システムの弱点,情報資産が被害に遭う確率と被害規模の組合せ,情報資産に損害を与える原因となるもの,情報システムの弱点を利用した攻撃によって被害を受ける可能性,ウ,"情報セキュリティにおける脅威（Threat）は,情報資産に損害を与える可能性や原因となるものを指す。",
202595,テクノロジ,"データベース設計におけるデータ分析で行うこととして,適切なものはどれか。",データウェアハウスから業務ごとに必要な情報を抽出する。,"データ項目の内容が,指定された条件を満足する行だけを抽出する。","必要なデータ項目を洗い出し,項目間の関連を整理する。","膨大な情報から統計的手法などを用いて,ビジネスに活用できる情報を探索する。",ウ,"データベース設計におけるデータ分析は,業務で扱うデータの構造を理解し,必要なデータ項目を洗い出し,項目間の関連性を整理する作業を指す。",
202596,テクノロジ,"OSS(Open Source Software)に関する次の記述のうち,適切なものだけを全て挙げたものはどれか。
a 個人だけではなく,企業や団体が開発したソフトウェアもある。
b 著作権が放棄されている。
c 入手したソフトウェアは,自由に再配布してもよい。","a,b","a,b,c","a,c","b,c",ウ,"OSS（Open Source Software）の特徴を整理すると以下の通りです。
a：正しい。OSSは個人だけでなく,企業や団体が開発したものもある。
b：誤り。OSSも著作権は保持されており,ライセンスに基づき利用や改変が認められる。著作権が放棄されているわけではない。
c：正しい。ライセンスに従えば自由に再配布できることが多い。",
202597,テクノロジ,"情報セキュリティにおいて,可用性が損なわれた事象だけを全て挙げたものはどれか。
a 関連取引先との電子決済システムがDoS攻撃を受け,処理ができなくなった。
b 顧客情報管理システムの顧客情報が誤った内容のまま運用されていた。
c 社内のサーバに不正侵入されて,社外秘の情報が漏えいした。",a,"a,b","b,c",c,ア,"可用性（Availability）は,情報やシステムが必要なときに利用可能であることを指す。",
202598,テクノロジ,"4個の要素から成るデータの並びを,次の手順を繰り返して昇順に整列するとき,整列が終了するまでに(1)から(3)の一連の手順は,何回実行されるか。ここで,最初はデータの並び全体を整列対象とする。
データの並び：[27,42,33,12]
[手順]
(1) 整列対象中の要素の最大の値を選び,最後の要素と入れ替える。
(2) 最後の要素を整列対象から外す。
(3) 整列対象に要素が1個以上残っていれば,(1)から(3)の一連の手順を実行する。残っていなければ,整列完了なので終了する。",2,3,4,5,ウ,"この手順は選択ソート（Selection Sort）のアルゴリズムである。
整列対象は最初に4個の要素 [27, 42, 33, 12]。
手順の回数は,残りの整列対象の要素数が1以上の間繰り返される。
各回の処理：
1回目：4個の中で最大値 42 を最後の位置と交換 → 整列対象は [27, 12, 33]（最後の 42 は固定）
2回目：3個の中で最大値 33 を最後の位置と交換 → 整列対象は [27, 12]
3回目：2個の中で最大値 27 を最後の位置と交換 → 整列対象は [12]
4回目：残り1個 → 手順を終了",
